keyword,rank,count,keywords,ranks,counts
,,,"['new word', 'new way', 'first', 'the first letter', 'traditional approach', 'the next letter', 'the broken letter', 'the first word', 'pronunciation', 'Part', 'part', 'the letter', 'rules', 'sounds', 'entirely new dimension', 'the\nlast letter', 'ease', 'two words', 'Hindi\nTeaching', 'two or more words', 'Rule', 'the Rule based algorithm', 'an easy and interesting way', 'Vicheda', 'Sandhi', 'all combinatory\nsound-changes', 'the number', 'Sandhi-vicheda', 'the process', 'an\naccuracy', '60-80%', '  Sandhi', 'this paper', '5', 'It', 'one', 'that', 'two', 'we', 'which']","[0.16514991820638497, 0.1317110661305854, 0.0996004727681591, 0.09541141455610971, 0.09396033214157497, 0.09058193616588275, 0.0844266491286991, 0.08349149344036876, 0.08312173698583013, 0.08146507244591181, 0.08146507244591181, 0.0751788593472046, 0.07037768872139835, 0.06559713647865446, 0.06559377017649735, 0.06383219563603044, 0.06375059377126206, 0.06190412153338936, 0.06100817565107263, 0.05094727618396632, 0.04213997542151589, 0.041753728456911846, 0.039370482163833265, 0.03719830896323953, 0.03283614851346613, 0.03146028169809221, 0.029694874281183843, 0.0237605720955898, 0.020362029529675002, 0.019289300934482338, 0.01649014420531948, 0.015166367346720161, 0.015166367346720161, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1]"
,,,"['reference resolution', 'reference', 'direct linkage', 'entities', 'potential referents', 'restructuring', 'access', 'domains', 'exploitation', 'Cognitive Grammar', 'the referring expression', 'a given\nreferring expression', 'Grammar', 'all reference', 'discursive and\nperceptual context', 'diverse\nphenomena', 'previous\napproaches', 'the fundamental assumption', 'a discourse', 'the\nentities', 'the set', 'a fresh perspective', 'the type', 'Our approach', 'the difficulties', 'the problem', 'The model', 'a model', 'the relations', 'a single\nmechanism', 'the most important feature', 'the principles', 'that', 'themselves', 'we', 'what']","[0.1256396122910664, 0.12137429946966816, 0.10993256662500651, 0.10737357060754628, 0.0992117359392253, 0.09075899660063715, 0.08978719949976424, 0.08605484350355862, 0.07677585208663774, 0.07447818185928771, 0.07262113527955373, 0.06160143246100731, 0.05743394718858063, 0.056060387577212135, 0.049845093635332176, 0.04490720483511404, 0.04422504868051216, 0.040652084249286125, 0.0384294277941966, 0.03601419042980203, 0.03453511150769663, 0.030985714580563428, 0.029902394663604254, 0.029157947875550212, 0.02793906770385192, 0.02238315922322473, 0.02209680183123058, 0.02209680183123058, 0.021691241273917458, 0.021125315593449392, 0.01497725352525902, 0.014291399846677806, 0.0, 0.0, 0.0, 0.0]","[1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]"
,,,"['CES', 'discourse structure', 'Ide', 'Veins Theory', 'multiple views', 'Cristea', 'an encoding scheme', 'the encoding scheme', 'access', 'global discourse\ncohesion', 'a discourse analytic task', 'support', 'Veins Theory (Cristea & Ide', 'reference', 'a CES-based data\narchitecture', 'a tool architecture', 'the encoding\nscheme', 'the Corpus Encoding\nSpecification', 'the encoding', 'the TEI Guidelines', 'the scheme', 'the recommendations', 'a\nmarked-up document', 'a model', 'the tools', 'A central feature', '  We', '1998', 'We', 'that', 'we']","[0.11771783258265471, 0.11186082967289174, 0.1076707607756254, 0.10126766536953044, 0.09980964389870584, 0.08430512999834579, 0.07592197356182974, 0.07592197356182974, 0.0741935045950894, 0.07418134759099669, 0.06986603606395263, 0.06939718132869754, 0.06706804513469769, 0.06498173621410527, 0.06393165572588647, 0.05946692599522686, 0.05510225051601706, 0.053375114820868715, 0.052653877359337076, 0.051550641043120266, 0.04632825464394631, 0.03527484640742792, 0.03414637885792839, 0.03340115868188269, 0.030819459617662293, 0.028506151184835266, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['syntactic annotation', 'diverse syntactic annotation schemes', 'annotation schemes', 'different annotation types', 'linguistic annotation', 'co-reference annotation', 'different ways', 'goals', 'parser output', 'language resources', 'comparative evaluation', 'standards', 'e.g., morpho-syntactic tagging, syntactic\nannotation', 'an abstract model', 'the annotators approach', 'the need', 'this need', 'a framework', 'the framework', 'a variety', 'its applicability', 'an overview', 'the proliferation', 'this paper', '  It', 'it', 'we', 'which']","[0.18719961214799188, 0.18169729598774287, 0.1659493481887086, 0.16578785804555554, 0.1625538317329575, 0.1572407926231107, 0.10642533354403007, 0.09815391610562932, 0.09589921465603624, 0.09579495081723972, 0.09245434253236885, 0.0729433566628019, 0.06223638269105392, 0.04073371272588161, 0.03787945948189869, 0.036119148957267554, 0.036119148957267554, 0.02951042404959786, 0.02951042404959786, 0.028662509447425367, 0.024779447340104906, 0.019443771026141025, 0.01716370818444952, 0.015150994774996655, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]"
,,,"['ISO', 'related standards', 'the International Standards Organization', 'linguistic annotations', 'RDF', 'XML', 'ISO/TC 37/SC 4 Language Resource Management', 'the work', 'this work', 'members', ',\nISO/TC 37/SC 4 Language Resource Management', 'the committee', 'a newly formed committee', 'its\nstarting point', 'the research community', 'an abstract data model', 'The primary motive', 'the latter', 'its\nimplementation', 'the\nparticipation', '  This paper', 'which']","[0.1362415015126072, 0.10518462909048881, 0.08960864474311765, 0.08068426333569101, 0.0760353112314961, 0.07319924232325709, 0.07187349020624845, 0.0621216818829524, 0.0621216818829524, 0.06098025740915013, 0.05780845180696683, 0.05395770379983716, 0.052724939403334656, 0.052422983371155425, 0.04601885495014122, 0.044579604180638006, 0.02728032316734282, 0.023111245106964846, 0.021791989423116023, 0.018900630356014258, 0.012110727072785394, 0.0]","[2, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['handwriting recognition', 'such handwriting SMS', 'time saving', 'phonetic writing', 'fashion', 'various strategies', 'other consonantal writing', 'texts', 'consonant skeleton', 'Short\nMessage Services', 'SMS', 'rebus', 'a specific language\nmodel', 'a\nstandard recognition system', 'this challenging area', 'a whole new language', 'instance abbreviations', 'the texts', 'an alternative method', 'the rough results', 'a\nsignificant number', 'more specifically three different phenomena', '  Handwriting', 'They', 'We', 'each', 'them', 'those', 'three', 'we', 'which']","[0.13762161898104525, 0.11323428581922032, 0.11084362513174391, 0.1096688678126035, 0.10869958221112416, 0.10531199316659909, 0.10396965617614443, 0.08217502934334794, 0.07263151906769051, 0.06968437305314167, 0.06832694407540481, 0.05926525696492934, 0.059234500827438516, 0.05805596051916615, 0.057237328277071974, 0.05530402896095266, 0.05461266501838487, 0.03795502024963787, 0.028962739329876967, 0.028962739329876967, 0.023812880506631634, 0.019333649490024613, 0.015629457977265452, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2]"
,,,"['handwriting recognition', 'time saving', 'phonetic writing', 'fashion', 'care', 'other consonantal writing', 'various strategies', 'such handwritten SMS', 'texts', 'consonant skeleton', 'Short\nMessage Services', 'a\nstandard recognition system', 'SMS', 'rebus', 'a specific language\nmodel', 'instance abbreviations', 'this challenging area', 'a whole new language', 'the texts', 'an alternative method', 'the rough results', 'a\nsignificant number', 'more specifically three different phenomena', '  Handwriting', 'They', 'We', 'each', 'them', 'those', 'three', 'we', 'which']","[0.13537079469253666, 0.10889474967239161, 0.10774424028907315, 0.1067858282572778, 0.10336283040598354, 0.10214610053773715, 0.09319127746316842, 0.0826995519907727, 0.07399048385006583, 0.0713591263392439, 0.06609777955892791, 0.06026685373149503, 0.05822640300366315, 0.05822640300366315, 0.05535328483871261, 0.0536559308796554, 0.052793046024759635, 0.05242359517693439, 0.034174740614644934, 0.028455354431910756, 0.028455354431910756, 0.02339578647444424, 0.018995011339111016, 0.015355534919762277, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 3]"
,,,"['polarities', 'dependency structures', 'dependency parsing', 'phrase structure', 'a polarity saturation', 'Interaction Grammars', 'words', 'Interactions', 'interactions', 'phrase-structure level', 'a polarity\nsystem', 'new light', 'the usual dependency tree', 'grammars', 'links', 'Dependency\nrelations', 'The dependency relations', 'the saturation', 'constituents', 'Syntactical composition', 'every dependency', 'place', 'the parsing process', 'the level', 'these interactions', 'a refinement', 'a formalism', 'a method', 'the\nconsequence', 'this\nwork', '  This article', 'we', 'which']","[0.1704731314451688, 0.14600584673658834, 0.1279869889470924, 0.12442479091532535, 0.10948400422776519, 0.10112379019883613, 0.09409158778679605, 0.08711118875856558, 0.08711118875856558, 0.0821822522274869, 0.0795517222693934, 0.07934081019512966, 0.0789143912138743, 0.07280692782522914, 0.06552061063975495, 0.06550237336142058, 0.06550237336142058, 0.06347434157895623, 0.06122032525869146, 0.05625048880533154, 0.05448181683725019, 0.05404114693047606, 0.05327200480033572, 0.04242801643562278, 0.040234934623348914, 0.028740544853977534, 0.027393799087760046, 0.02340380899352743, 0.023187315612233576, 0.015002512336984668, 0.013243233876697166, 0.0, 0.0]","[1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['synonym lexicon acquisition', 'word sense disambiguation', 'WordNet construction', '5 synonym dictionaries', 'French', 'WordNet', 'Tr\\esor de la langue', 'the\nsynonym dictionary', 'the 5 synonym dictionaries', 'the synonyms', 'synonyms', 'scores', 'related work', 'inter-annotator agreement', 'a large machine readable\ndictionary', 'the annotator pair', '67%', '71%', '88%', 'the automatic procedure', 'The proposed method', 'the proposed method', 'The senses', 'its\ndictionary senses', 'that word', 'the set', 'each (word, definition) pair', 'at best 88%', 'the TLFi', 'a recall', '4 lexicographers', 'a precision', 'a gold\nstandard', 'that task', 'a lemma', 'a method', '  We', '4', '5', 'they', 'we']","[0.14067524375730295, 0.11584905309389092, 0.10305678312737072, 0.08800770300395044, 0.08289788300246267, 0.06724053431602152, 0.06512857761857788, 0.06387376764269183, 0.06387376764269183, 0.06324137209261227, 0.06272911668247998, 0.05999674013837446, 0.05977297862735013, 0.058330852398735894, 0.056874657159556884, 0.05562109336214599, 0.05497486736476953, 0.05497486736476953, 0.05497486736476953, 0.04497987633688971, 0.04108463025279074, 0.04108463025279074, 0.0406425657283181, 0.038856729309211045, 0.038459214526726404, 0.03819897433991685, 0.034236768780970636, 0.03271772610639141, 0.03205066426218837, 0.030624620971313934, 0.02737066754598093, 0.02732147848031634, 0.0234635501660035, 0.022732175705484952, 0.02266213448903593, 0.02182072557572132, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 4, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2]"
,,,"['linguistic recursion', 'mathematical reasoning', 'human recursive processing', 'recursion', 'human languages', 'cognitive constructs', 'the standard mathematical definition', 'many scientific problems', 'i.e.\nmathematical model theory', 'the linguistic community', 'the literature', 'certain ""soft universals', 'the multiple and conflicting\nalternative definitions', 'this article', 'The purpose', 'a byproduct', 'an\ninsight', 'it', 'that', 'we', 'which']","[0.17425642145020226, 0.14887197033678506, 0.13887184096536964, 0.13584332786811307, 0.11798174566181574, 0.10428425203404885, 0.09382615839236608, 0.07485389623868963, 0.07236987611598977, 0.07189259790622021, 0.05463775682576916, 0.0531327546483147, 0.048781741620535474, 0.02013730871299889, 0.017775883550570137, 0.017775883550570137, 0.016566023496676612, 0.0, 0.0, 0.0, 0.0]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['multimodal content representation', 'multimodal interaction', 'Working Group', 'multimodal meaning\nrepresentation', 'video', 'new possibilities', 'basic constraints', 'input', 'error prevention', 'facial expressions', '  Multimodal interfaces', 'partial or ambiguous\nmultimodal input', 'audio', 'information', 'instance', 'models', 'output', 'http://www.dfki.de/~wahlster/Dagstuhl_Multi_Modality', 'gestures', 'graphics', 'a generic\nrepresentation framework', 'speech', 'coordinated, cohesive, and coherent\nmultimodal presentations', 'the informal working group', 'the interactive context', 'more effective and efficient ways', 'Dagstuhl', 'the Dagstuhl workshop', 'the task', 'the workshop', 'account', 'the interface', 'its possible\nobjectives', 'e.g. text', 'the definition', 'the media', 'the domain', 'the understanding', 'the user', 'possibly imprecise', 'the management', 'the generation', '(e.g.,\ntask completion', 'the use', 'the discussion', 'The present document', 'the results', 'It', 'that', 'those']","[0.14651009693884226, 0.12364909205411981, 0.08656106895319488, 0.08318403006183435, 0.07974973632288626, 0.0761699832126659, 0.07493927486859386, 0.07369048837736306, 0.07082228563742457, 0.07009659776012206, 0.06703692244689831, 0.06276308964997405, 0.06275432156515162, 0.0586735561009298, 0.05737889802043657, 0.05544391261919393, 0.05453301704061407, 0.052531516741806374, 0.05098375374191783, 0.049081964137225695, 0.04829825220180961, 0.047772037260541474, 0.04495242398709904, 0.04223295866734044, 0.04032663888617586, 0.03906221780478308, 0.036734749839013106, 0.036142594987621825, 0.03442936275222439, 0.028754433746086314, 0.028624634700852046, 0.02797486070115587, 0.027848181675680143, 0.026962244231452784, 0.026511341040877375, 0.026406924490424574, 0.026354176832983685, 0.026193152308073925, 0.025904983462361333, 0.025727023599630867, 0.02506855305615964, 0.025063325642458164, 0.023160070634443544, 0.021809142275434738, 0.01953345516306122, 0.01909085085163126, 0.014977452151360527, 0.0, 0.0, 0.0]","[2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['increasing length', 'gamma =', 'the same length', 'a systematic text-length dependence', 'the systematic text-length dependence', 'the same author', 'the same characteristics', 'an imaginary complete infinite corpus', 'a certain length', 'a text', 'a meta book concept', 'a single book', 'The estimated gamma values', 'Zipf', 'The infinite book limit', 'a\nsingle author', 'the power-law\nindex gamma', 'an abstract representation', 'Heap', 'an extended Heaps law', 'the Zipfs law', 'the\nword-frequency structure', 'this concept', 'the\nword-frequency distribution', 'the value', 'Evidence', 'addition', 'a\nmonotonic decrease', 'a consequence', 'the idea', 'A direct\nconnection', '  Evidence', '1', '2', 'we', 'which']","[0.1313671337563076, 0.09140719094842527, 0.09131087655791977, 0.0827050034289468, 0.0827050034289468, 0.08131718316809314, 0.07759212297656815, 0.07269508156666557, 0.07089644032985357, 0.06493600107856787, 0.06430356966748045, 0.061281806180597205, 0.05346483420395615, 0.05281851618463644, 0.05199946258721414, 0.04750934800710666, 0.04750765521071557, 0.04166908834915786, 0.039284773273386316, 0.03853274524365674, 0.03707378113562836, 0.032856601843212214, 0.030290970580825655, 0.029536997790317054, 0.027605782755443987, 0.027021766661744797, 0.027021766661744797, 0.025961914877166346, 0.023485546690395938, 0.01988424973746282, 0.014817348599433275, 0.01248081940491009, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['terms', 'Higher Order Grammar', 'logically equivalent terms', 'ambiguity', 'axiomatic theories', 'case', 'provability', 'Order Grammar', 'the single logical\nsystem', 'HOL', 'higher-order logic', 'HOG', 'precise formulation', 'a few ""discrete"" terms', 'proof', 'a valid expression', 'a ""continuous""\nset', 'this observation', 'this elegant architecture', 'An important implication', '  Both syntax-phonology and syntax-semantics interfaces', 'i.e. a\nlanguage', 'the\nmeaning', 'The note']","[0.167509050005866, 0.10613823167402858, 0.09874764126640578, 0.09778890023598737, 0.09606230606862295, 0.09364840531437557, 0.09245589182676339, 0.08317709245196034, 0.07279996729682285, 0.07267270549165697, 0.06812763022029812, 0.06710356904072877, 0.06521334531900205, 0.0619162010917607, 0.058918837483892025, 0.04302918411478067, 0.03565701875030475, 0.035656501801321995, 0.034584599024194765, 0.02694895555788971, 0.0251560262842699, 0.020848425610742904, 0.018646131648904836, 0.016474659969446033]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['sentence meanings', '-', 'meanings', 'Proofs', 'proofs', 'semantics', 'possibly infinite processes', 'a dialectical interaction', 'Ludics', 'a game-theoretic accounts', 'the counter', 'their counter', '  Proofs', 'the same idea', 'the objects', 'a\nproof-theoretic', 'an interpretation', 'the intersection', 'The conception', 'We', 'it', 'that', 'them', 'they']","[0.12955760031670105, 0.11661866231673478, 0.11312488298193912, 0.0985532579902219, 0.0985532579902219, 0.09058237231676416, 0.0888439377484587, 0.08008891945966734, 0.059476484739665915, 0.05360709037479642, 0.052547445348815204, 0.052547445348815204, 0.0455198000241354, 0.04284181362963193, 0.03945713265914249, 0.035928999537004076, 0.0352544654108873, 0.02619041601978013, 0.023119213658191515, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]"
,,,"['machine translation systems', 'developed system', 'Hindi Punjabi Machine Translation System', 'Hindi Machine', 'Punjabi University', 'Punjabi', 'same evaluation criteria', 'Punjabi\nmachine translation system', 'Punjabi to Hindi Punjabi Machine Translation System', 'high accuracy', 'Hindi Machine\ntranslation system', 'real applications', 'early 90s', 'Hindi', 'author knowledge', 'Machine Translation', 'evaluation', 'Hindi to Punjabi', 'India', 'no high quality\nsystem', 'development', 'every system', 'the system', 'the evaluation results', 'The earliest efforts date', 'Patiala', 'question', 'its\nevaluation experimental results', 'Both the systems i.e.\nsystem', 'same closely related\nlanguages', 'the late 80s', '  Machine Translation', 'sense', 'Number', 'about 92%', 'about 95%', 'the accuracy', 'The success', 'this paper', 'It', 'that', 'which']","[0.16106633705078405, 0.1487732052779602, 0.1406052424697281, 0.12619621149552973, 0.11742295289352128, 0.11530060563965565, 0.11197238356655138, 0.11166827918084846, 0.10943300760515867, 0.10834866686722736, 0.1074992611898137, 0.10603030354059664, 0.10008155482142096, 0.09892204068085061, 0.09621409377605601, 0.08620870664424925, 0.08261631044877696, 0.07596018660017768, 0.07469635746532531, 0.06826903065133616, 0.0650148927212004, 0.06304884630022842, 0.06304884630022842, 0.05898191664459567, 0.05493270029368347, 0.053345282218439954, 0.053304170607145505, 0.04974659026707656, 0.048837426343675154, 0.048492369526287674, 0.04676773994012794, 0.04571907079910281, 0.04334654959618425, 0.03826350450762682, 0.032781157355526475, 0.032781157355526475, 0.03273101669189192, 0.017673155702093445, 0.017673155702093445, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1]"
,,,"['lexical sample', 'Word Sense Disambiguation', 'unsupervised systems', 'the lexical sample task', 'mutual information', 'lexical\nsample', 'the lexical sample', 'some additional heuristics', 'an unsupervised system', 'a\nstrong challenge', 'all words', 'the SENSEVAL-2 English tasks', 'a\nstrong indication', '3.6%', '40.2%', '56.9%', '56.9%\nrecall', 'English', 'the\nfirst sense heuristic', 'both tasks', 'Our system', 'the system', '277 million words', 'first', 'a\nlarge corpus', 'A supervised\nextension', '277 million', 'This', 'We', 'that']","[0.17089381836447784, 0.14538720588458692, 0.1212648470624646, 0.10518349206639094, 0.09064858864711502, 0.09063013337128834, 0.09063013337128834, 0.06444445048416343, 0.06431039675806373, 0.06018623217182567, 0.05994750913147384, 0.059267534689122305, 0.056772113157666775, 0.053573601740207116, 0.053573601740207116, 0.053573601740207116, 0.04898547577849496, 0.04711398756196324, 0.045844541453703876, 0.045012432380027584, 0.04408445546887158, 0.04408445546887158, 0.04353294459615286, 0.041589260619046844, 0.03856566972152521, 0.020131138851692532, 0.0, 0.0, 0.0, 0.0]","[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]"
,,,"['task', 'a context word', 'deeper research', 'simple\nsyntactic patterns', 'the lexical sample task', 'second', 'mutual information\nproximity', 'English', 'the sense', 'the senses', 'use', 'WSD', 'two different unsupervised\napproaches', '.35', 'recall', 'the\ndisambiguation contexts', 'The second heuristic', 'This patterns', 'a variant', 'first', 'all-words', 'the all words', 'the techniques', 'Results', 'a hybrid system', 'the first heuristic', 'The high precision', 'the glosses', 'the examples', 'a precision', '  This paper', 'We', 'one', 'that', 'two']","[0.09982136848442255, 0.08346743494257226, 0.07778037255106704, 0.07516127497976445, 0.07489518465009032, 0.07160695230652188, 0.06995426754342156, 0.06470520337269035, 0.06197162736680604, 0.06197162736680604, 0.060610893644546714, 0.057580768910017524, 0.0553705466752176, 0.05468252356914918, 0.05168192934980715, 0.0490339934971007, 0.04532363115088907, 0.04279269180621856, 0.04262376253361516, 0.04185220463833899, 0.03990310578086949, 0.03990310578086949, 0.0376027259265671, 0.036944223829893694, 0.03582170271660509, 0.03478856700580046, 0.03263642022353556, 0.030206209659506607, 0.02813917327955583, 0.02485442640930539, 0.012391469378941488, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
,,,"['machine translation', 'individual noun phrases', 'WSD', 'important domain differences', 'senses', 'alignments', 'potential precision', 'English', 'several factors', 'the other language', 'too close languages', 'Spanish', 'precision', 'bilingual English-Spanish\ncomparable corpora', 'SemCor', 'a WSD experiment', 'their respective counterparts', 'the method', 'the alignment', 'this approach', '2.7%', '74.3%', 'The coverage', 'the coverage', '(74.3%', 'the experiment', 'the\nnumber', 'our intuition', 'this paper', 'The\nevaluation', 'We', 'it', 'we', 'which']","[0.11541080133184209, 0.09782127614903874, 0.08846290393213474, 0.08824618551590718, 0.08525784124895341, 0.08442699402701963, 0.08166019931917327, 0.0782976017590108, 0.06809786323936963, 0.06702064055914064, 0.06363152554189756, 0.061819348324263744, 0.06165481552768539, 0.055917532038171, 0.055910288963841176, 0.05179914589334176, 0.049216709773970434, 0.04257910618938349, 0.03899515818269657, 0.03753146434154059, 0.03483893949183597, 0.03483893949183597, 0.026281065857581384, 0.026281065857581384, 0.025299493584639107, 0.024902672152255327, 0.016672811372357394, 0.014097295295028275, 0.014097295295028275, 0.01023723560703988, 0.0, 0.0, 0.0, 0.0]","[1, 1, 3, 1, 1, 2, 1, 3, 1, 1, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]"
,,,"['Sanskrit text', 'Sanskrit texts', 'Sanskrit compound words', 'Sanskrit', 'words', 'increasingly available Sanskrit E texts', 'sandhis', 'grammar', 'adjacent letters', 'the Sanskrit grammar', 'Panini', 'Paninis complex codification', 'The ancient\nSanskrit grammarian Paninis codification', 'terms', 'points', 'simple beginnings', 'euphonic conjunctions', 'an integral part', 'This new computational model', 'numbering', 'the grammar', 'the rules', 'the subject', 'aphorisms', 'the handling', 'a fresh new approach', 'facilitated\nreferencing', 'the\naccepted authority', 'a computational\nschema', '  Automated language processing', 'all the rules', 'the\nrules', 'first', 'His famed sutras', 'The first step', 'The model', 'the drive', 'the\nprocessing', 'This work', 'This', 'approximately four thousand', 'firstly', 'that', 'which']","[0.16805828730310016, 0.16805828730310016, 0.16669754956817312, 0.13830609381265216, 0.10999523620325988, 0.10051700615310917, 0.09901712609910132, 0.09529066649691956, 0.08743150040545697, 0.08397750696933864, 0.07018868549417603, 0.0586065301412396, 0.05830953188583809, 0.05768623251416802, 0.05749073330024345, 0.05738899332729736, 0.054922049224649286, 0.04986641985521154, 0.047552126109359695, 0.04491926308021787, 0.04401287356260429, 0.04313127832318206, 0.04239125773688926, 0.039651753506491534, 0.03954263011047119, 0.03832614385524359, 0.037742141829386455, 0.0351983038359437, 0.03472353823919511, 0.03241581208653964, 0.03132126049618521, 0.03132126049618521, 0.03089743389431888, 0.02334410292022662, 0.02334410292022662, 0.02159795815292652, 0.021076533738492133, 0.014398231446992184, 0.014270913420922939, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 6, 2, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]"
